#,Channel Name,Total Subscribers,Engagement Rate,Country,Total Views,Invite to Campaign,Channel ID
1,NoCopyrightSounds,32900000.0,,United Kingdom,9900000.0,View Profile,UC_aEa8K-EOJ3D6gOs7HcyNg
2,DanTDM,26300000.0,,United Kingdom,7900000.0,View Profile,UCS5Oz6CHmeoF7vSad0qqXfw
3,KSI,24000000.0,,United Kingdom,7200000.0,View Profile,UCVtFOytbRpEvzLjvqGG5gxQ
4,Mister Max,23000000.0,0.1,United Kingdom,6900000.0,View Profile,UC_8PAD0Qmi6_gpe77S1Atgg
5,Jelly,22900000.0,,United Kingdom,6900000.0,View Profile,UC0DZmkupLYwc0yDsfocLh0A
6,Miss Katy,22600000.0,,United Kingdom,6800000.0,View Profile,UCcartHVtvAUzfajflyeT_Gg
7,Dua Lipa,21100000.0,,United Kingdom,6300000.0,View Profile,UC-J-KZfRV8c13fOCkhXdLiQ
8,Dan Rhodes,17700000.0,0.3,United Kingdom,5300000.0,View Profile,UC6D1L2vxEAg_Vi0JSxMBDgA
9,Ali-A,17700000.0,,United Kingdom,5300000.0,View Profile,UCYVinkwSX7szARULgYpvhLw
10,Gaby and Alex,17000000.0,,United Kingdom,5100000.0,View Profile,UCHwBjRoGO1V-H8QYXjSVHkQ
11,Sidemen,17000000.0,2.8,United Kingdom,5100000.0,View Profile,sidemen
12,Queen Official,16300000.0,,United Kingdom,4900000.0,View Profile,UCiMhD4jzUqG-IgPzUmmytRQ
13,Little Mix,16100000.000000002,,United Kingdom,4800000.0,View Profile,UCIvqWqjC4aLvp7zI8hzARrA
14,JJ Olatunji,15900000.0,,United Kingdom,4800000.0,View Profile,UCGmnsW623G1r-Chmo5RB4Yw
15,F2Freestylers - Ultimate Soccer Skills Channel,14000000.0,0.2,United Kingdom,4200000.0,View Profile,UCKvn9VBLAiLiYL4FFJHri6g
16,BBC News,13300000.0,,United Kingdom,4000000.0,View Profile,UC16niRr50-MSBwiO3YDb3RA
17,BBC,12900000.0,,United Kingdom,3900000.0,View Profile,UCCj956IF62FbT7Gouszaj9w
18,Awakening Music,12400000.0,,United Kingdom,3700000.0,View Profile,UCBq5hp6DvwWam2XOXw6lYJA
19,DisneyChannelUK,12300000.0,,United Kingdom,3700000.0,View Profile,UCLeuoGy_hUDTBf5Hk0ynrpQ
20,colinfurze,11900000.0,0.6,United Kingdom,3600000.0,View Profile,UCp68_FLety0O-n9QU6phsgw
21,Mrwhosetheboss,11800000.0,1.9,United Kingdom,3500000.0,View Profile,UCMiJRAwDNSNzuYeN2uWa0pA
22,TommyInnit,11700000.0,,United Kingdom,3500000.0,View Profile,UC5p_l5ZeB_wGjO_yDXwiqvw
23,Morgz,11600000.0,0.1,United Kingdom,3500000.0,View Profile,UCBwSufNse8VMBvQM_rCSvgQ
24,Tiana,11400000.0,,United Kingdom,3400000.0,View Profile,UC6sSkkemzPjmrzS0Y0V_2zw
25,DisneyJuniorUK,11200000.0,,United Kingdom,3400000.0,View Profile,UC7Gf2tZ8coTX2ckTPgn62iQ
26,Emily Tube,11000000.0,,United Kingdom,3300000.0,View Profile,UC-0D1RlSzcvBoODCKSoLl2g
27,Slogo,10900000.0,,United Kingdom,3300000.0,View Profile,UCHdMK5Ef2El8KbD3L_WgANg
28,Jessie J,10400000.0,,United Kingdom,3100000.0,View Profile,UC4pEp0mo54WhEBCTYvjVDJA
29,Sing King,10200000.0,,United Kingdom,3100000.0,View Profile,UCwTRjvjVge51X-ILJ4i22ew
30,BBC News عربي,10100000.0,,United Kingdom,3000000.0,View Profile,UCelk6aHijZq-GJBBB9YpReA
31,Classic Mr Bean,9900000.0,,United Kingdom,3000000.0,View Profile,UCEwIUtFBhaI2L2PuKv0KL2g
32,Syndicate,9700000.0,,United Kingdom,2900000.0,View Profile,UC1ieoHqKW-yYgDhLHIcx28w
33,Gorillaz,9400000.0,0.1,United Kingdom,2800000.0,View Profile,UCfIXdjDQH9Fau7y99_Orpjw
34,Woody & Kleiny,9400000.0,1.1,United Kingdom,2800000.0,View Profile,UCoGForHQAmk0_9rI9CABeYw
35,Jungle Beat,9300000.0,,United Kingdom,2800000.0,View Profile,UChUHOEe7zgYmrv7a_LlpNng
36,Julius Dein,9200000.0,,United Kingdom,2800000.0,View Profile,juliusdein
37,The X Factor UK,9100000.0,0.1,United Kingdom,2700000.0,View Profile,UCEY1ejsweY4DgMwOVJeEaBA
38,English with Lucy,9000000.0,,United Kingdom,2700000.0,View Profile,UCz4tgANd4yy8Oe0iXCdSWfA
39,Shaun the Sheep,8900000.0,,United Kingdom,2700000.0,View Profile,UCS7H8U-n5mINVJjJsaRtGHg
40,Cartoons for Kids,8700000.0,,United Kingdom,2600000.0,View Profile,UC977n5nXRn8MDuGQjwxkOLw
41,Mumbo Jumbo,8500000.0,1.7,United Kingdom,2600000.0,View Profile,UChFur_NwVSbUozOcF_F2kMg
42,Top Gear,8400000.0,,United Kingdom,2500000.0,View Profile,UCjOl2AUblVmg2rA_cRgZkFg
43,Moonbug Kids - Kids Learning Videos,8300000.000000001,,United Kingdom,2500000.0,View Profile,UC1QqdFv5e9QSEi0eYdfwuqw
44,BBC Radio 1,8100000.0,,United Kingdom,2400000.0,View Profile,UC-FQUIVQ-bZiefzBiQAa8Fw
45,Liverpool FC,8000000.0,,United Kingdom,2400000.0,View Profile,liverpoolfc
46,Grian,7800000.0,1.8,United Kingdom,2300000.0,View Profile,UCR9Gcq0CMm6YgTzsDxAxjOQ
47,Daz Games,7600000.0,0.3,United Kingdom,2300000.0,View Profile,UCDBCCMlFD-hArPbWv38FINA
48,Vikkstar123,7600000.0,,United Kingdom,2300000.0,View Profile,UCvwgF_0NOZe2vN4Q3g1bY-A
49,PlayToys,7600000.0,,United Kingdom,2300000.0,View Profile,UCHFA6Nt11kE_8OWIya0SQDQ
50,carwow,7500000.0,0.2,United Kingdom,2200000.0,View Profile,UCUhFaUpnq31m6TNX2VKVSVA
51,Jeremy Lynch,7400000.0,,United Kingdom,2200000.0,View Profile,UC5Y1pPVNm-odhiubuRO1D6A
52,TomSka,7200000.0,2.2,United Kingdom,2200000.0,View Profile,UCOYWgypDktXdb-HfZnSMK6A
53,YOGSCAST Lewis & Simon,7100000.0,,United Kingdom,2100000.0,View Profile,UCH-_hzb2ILSCo9ftVSnrCIQ
54,LDShadowLady,7000000.0,,United Kingdom,2100000.0,View Profile,UCzTlXb7ivVzuFlugVCv3Kvg
55,The Beatles,6900000.0,0.1,United Kingdom,2100000.0,View Profile,UCc4K7bAqpdBP8jh1j9XZAww
56,Passenger,6900000.0,,United Kingdom,2100000.0,View Profile,UCFHtCB_FWXQ8GpjgfYcD8-g
57,MessYourself,6900000.0,,United Kingdom,2100000.0,View Profile,UCrSgaO6xOY8YV1EoCbD51HA
58,MoreSidemen,6800000.0,0.6,United Kingdom,2000000.0,View Profile,UCh5mLn90vUaB1PbRRx_AiaA
59,Boomerang UK,6800000.0,,United Kingdom,2000000.0,View Profile,UCmst562fALOY2cKb4IFgqEg
60,James Arthur,6800000.0,,United Kingdom,2000000.0,View Profile,UCV5Gw7GGOMxe6SSF6llp_3Q
61,ARPO The Robot,6700000.0,,United Kingdom,2000000.0,View Profile,UCrSx8rek9EuC3YGHvG8aalw
62,24 News HD,6700000.0,,United Kingdom,2000000.0,View Profile,UCcmpeVbSSQlZRvHfdC-CRwg
63,RubyandBonnie,6600000.0,,United Kingdom,2000000.0,View Profile,UC_wITz-Ze4JFc3WLQA1n3Hw
64,Nickelodeon UK,6600000.0,,United Kingdom,2000000.0,View Profile,UCHiceVclOIFCgAcveITRLLw
65,Mark Ronson,6500000.0,,United Kingdom,2000000.0,View Profile,UCSY5V7BJSrxNvvBF0Drslow
66,Rhia Official,6400000.0,,United Kingdom,1900000.0,View Profile,UCQdsJ95w9jh-yB0BA6EDGWA
67,UKF Dubstep,6300000.0,,United Kingdom,1900000.0,View Profile,UCfLFTP1uTuIizynWsZq2nkQ
68,TGFbro,6200000.0,0.9,United Kingdom,1900000.0,View Profile,UCOgUcv_9DaivXzsN9mcHIzQ
69,Wilbur Soot,6200000.0,2.6,United Kingdom,1900000.0,View Profile,UC1n_PfsVqxllCcnMPlxBIjw
70,Russell Brand,6200000.0,,United Kingdom,1900000.0,View Profile,UCswH8ovgUp5Bdg-0_JTYFNw
71,Manchester United,6200000.0,0.2,United Kingdom,1900000.0,View Profile,UC6yW44UGJJBvYTlfC7CRg2Q
72,Pingu - Official Channel,6200000.0,,United Kingdom,1800000.0,View Profile,UCM88mtSE0zRTn5ae4EbYcuw
73,Mrwhosetheboss Shorts,6100000.0,,United Kingdom,1800000.0,View Profile,UCZSlfzadjnw7G419c_OJ9eg
74,Niko Omilana,6000000.0,16.2,United Kingdom,1800000.0,View Profile,UCdcUmdOxMrhRjKMw-BX19AA
75,Tiana Wilson,5900000.0,,United Kingdom,1800000.0,View Profile,UC7_yh9PEDpaqp34QtGO-_Yw
76,Capital FM,5800000.0,,United Kingdom,1700000.0,View Profile,UCZzwjZPc6R_PbnDgFVMwlvQ
77,Simon's Cat,5800000.0,0.3,United Kingdom,1700000.0,View Profile,UCH6vXjt-BA7QHl0KnfL-7RQ
